tactic_label,tactic_score,text_preview
propaganda,0.9873046875,"Trump must compromise with Putin because he is his vassal!!! This is a disgrace to the US!!! They have a president who is not only ignorant and unreliable, but also a friend of someone convicted of sexual abuse and inter"
propaganda,0.98291015625,"The godless man is not free, but lonely, he has no one to share his pain with. He experiences loneliness that cannot be cured by the world. The loneliness is healed by a living relationship with God, not by mere human bo"
propaganda,0.978515625,I have been investigating the use of this language in the past. I have been investigating this problem in the past. I have been investigating the problems of the local community in the past.
propaganda,0.97607421875,"I don't really agree with the effort part. So it's in CBT, yes. I personally didn't understand this kind of therapy, but EFT, and for the last two years I've been making changes to the treadmill with minimal effort, it j"
propaganda,0.96630859375,"The Swedish people have a problem with their own disabilities, because they are not able to understand each other. The Swedish people have a problem with their own disabilities, but they do not have a problem with their "
propaganda,0.96533203125,"Unfortunately some people after a relationship with the narcissist, they curl up their lives😢. There are people who give up their lives, because they lose all self-esteem and think there is no point in living anymore😢 Na"
propaganda,0.96484375,I saw the political situation in the United Kingdom and I experienced it very well. I saw the political situation in the United Kingdom and I saw the political situation in the United Kingdom and I saw the political situ
propaganda,0.96240234375,"Unfortunately, the syntax of the novel ""Desection"" is disappointing, making me think that it hasn't been read, maybe just leafy. It's a shame because I'm watching you very carefully and I even waited to finish the book b"
propaganda,0.96044921875,I have been an expert in the city sector for 25 years. I have been a specialist in the city sector for 25 years. I have been a specialist in the city sector for 90 years.
propaganda,0.9599609375,Trump deployed National Guard troops against peaceful protesters in Minneapolis. The dictator decided to suppress peaceful protests with armored vehicles so that his federal agencies could continue their illegal activiti
propaganda,0.9599609375,"In Ihren Veröffentlichungen schüren Sie oft Zwietracht unter den Feinden der türkischen Regierung, weil Sie von einer schwachen, von Europa gelenkten und befehligten Türkei träumen. Sie können die wachsende Macht meiner "
propaganda,0.95703125,"Denys, you say: ""if the US withdraws its intelligence service from the UK, the Kremlin will declare war on NATO"". I think this scenario is unlikely, because in that case, JISR NATO and NISRF structure would, fortunately,"
propaganda,0.95556640625,"Another Hour Ayn Concubine hunting caliphated, ended by empress Catherine the GREAT!. I praise my female saints, something unheard of in this patriarchal violent religion, called islam."
propaganda,0.953125,"The mercosur agreement will lead to the bankruptcy of small farmers in the EU. Small farms will be destroyed by the mercosur agreement. Small farmers will be replaced by large corporations. the mercosur agreement, while "
propaganda,0.94873046875,"Regardless of this content, the political government's ""index"" with its slides, lies, layered article synthesis, bulwark-making, manipulative ""information"", mental bounty hunter titles is nothing more than FUCK!"
propaganda,0.947265625,"The comments here are extremely sad to read. They're all people who focus on expressing hatred for the people they don't like, instead of actually commenting on the content of the video."
propaganda,0.94482421875,"Prisons are empty and she writes fat cats, hey, Tusk, you're out of your mind because you can't see the crap in the stocking."
propaganda,0.94091796875,"Mamluks write headlines as illiterate...the judicial control is for governors, MPs, the whole gang of corrupt traitors, the thieves responsible for the coup d'état, the guilty traitors of cancelling elections....the peop"
propaganda,0.9375,"Writers lie, lie, pass on day by day, eight years they steal and do nothing, nothing but steal, get loose on the estate, steal from every institution and now big minds, writers to the fuckaaa immediately"
propaganda,0.9365234375,"The European Union has also been a major player in the fight against terrorism, and the European Union has been a major player in the fight against terrorism, which has led to the death of thousands of people in the past"
propaganda,0.93408203125,♪ I'm not a fan of the song ♪ ♪ I'm not a fan of the song ♪
propaganda,0.93310546875,"This minidter, as usual, is a fool when he says something crazy, he poisones the circle repeating the mantra that was the same eagle before him 😂😂😂😂"
propaganda,0.93115234375,"""I had to choose between my health, my life and primary school. I chose health"". So a person's health and well-being are not directly related to both physical and food hygiene, but also to the environment, which is provi"
propaganda,0.93017578125,F24 fait de la délation (de de la diffamation) en prétendant que ceux qu'ils délatent font de lad élation. C'est lunaire  Et le Pablito de service a zéro compétence sur le sujet...En plus il fait partie d'une mouvance qu
propaganda,0.92919921875,"What are you publishing this for? It's all about the insults and the dissatisfaction, and it's not just about the shorts. Any material under your brand is the same thing, and without knowing 10% of the full picture, it's"
