stance_label,stance_score,text_preview
pro_russia,0.98583984375,First Trump says that NATO members are not contributing their share.. but when Ukraine is invaded all he does is pander to Putin.
pro_russia,0.9853515625,"Denys, stop intoxicating your followers with your dumb opinions saying that Trump doesn't understand, this mofo is 100% aligned with Putin on EU destruction, on supremacism, on traditional values, on Ukraine is Ruzzia, o"
pro_russia,0.9814453125,The peace council is the next straw from the usury hammer! the description and who deserved us on such a scale that Poles do not want to have children! the government-in-exile that rushed after the Games - the West has d
pro_russia,0.98046875,"You're a criminal propagandist for foreign interests while Ukrainians die in trenches, and the country is being destroyed."
pro_russia,0.97900390625,Denny's is cheerleader for the destruction of the Ukraine AND The EU !!! Very Dangerous Conman ✅
pro_russia,0.97705078125,"He could not get peace in Ukraine, so he says "" I think I will start a war in Iran so I can win Warmonger Nobel Prize"""
pro_russia,0.974609375,"Instead of doing a stupid subscription thing and throwing a cart of money on a mediocre water, you better get a reverse osmosis filter and have as much top-quality water as you want at the tap. The real solution is a rev"
pro_russia,0.9716796875,"This is a propaganda, not real interview, for Starmer to defend his kow-tow trip and abusing power to block his party member from challenging him. The interviewer pretended to be confrontational by inserting unnecessary "
pro_russia,0.97119140625,"Ukraine: no matter how many you strike our country, we will find away to strike back and destroy 🎉🎉🎉🎉"
pro_russia,0.97021484375,Let's see how many times the PROPAGANDIST BBC says 'FULL SCALE INVASION'!! 😂 Hey BBC how about mentioning the Ukrainian Regime starving Donetsk Lugansk & Crimea of Energy & Water for 10 years?! Ukraine is the one who doe
pro_russia,0.97021484375,"UK starmer going begging china now... hahaha, now UK funding Russia Putin war"
pro_russia,0.97021484375,"The EU supports the modi dictatorship in the open. While it bags one it upholds the other, costa is a failed politician and Ursula a loser in the attempt to protect democracy."
pro_russia,0.96875,"In another sense, if the Ukrainians have already started this war with American help, then the Ukrainians should tell their mistresses to end it!"
pro_russia,0.96728515625,"And in a consolidated democratic country no other foreign languages or languages left behind in history are harassed, only if they are not financed by the Kremlin for destabilizing 2014 by football fans Actors for Russia"
pro_russia,0.96728515625,"Fuck the EU. Fuck the US, and glory to the heroes of Ukraine!"
pro_russia,0.966796875,Brave not to get NATO to put in the Uctaina Why you killed on the Caucasus all three powers of the Zelands Maya lohaus 😊and advised or advised to make home War JOSH MASONS JOSH GHEI JOSH SATANIST TRAIESCA MONDOWA SUVEREN
pro_russia,0.96484375,"Such a quote ""this man never said a word of truth in his life"" - from himself, however fortunately circumstances force him to help Ukraine, and not like 15 years ago as he allowed Nordstream and used those who created th"
pro_russia,0.9638671875,Europe needs to do more! Give like Scandinavia! Slava Ukraine
pro_russia,0.962890625,Keep us safe! Slava Ukraini! If NATO dont exist we speak already Chinese or Russian.
pro_russia,0.9619140625,"Or they want to join us with Moldova to face Transnistria (Russia's military base). That's what they said last year about Ukraine, namely: Ukraine defends all of Europe from the Russian invasion!! The world is in a frenz"
pro_russia,0.9609375,"I give you M.... you support Nicușor Dan, Bolojan and the coup d'état of December 6, 2025, stop doing this stuff when you support CENCURY and the right to free speech."
pro_russia,0.96044921875,"Trump's a wimp, send Stork baskets and Bitcoin to the Ukrainians."
pro_russia,0.9599609375,Good thing América is going to war to save the Iranian people   While simultaneously defending the death of protesters because they impeded law enforcement
pro_russia,0.9599609375,"King Matthew was quite pro-war, wasn't he?"
pro_russia,0.95947265625,lol 4:10 there is a lot of “support” by foreign governments mainly US and “probably” Isreal for what the have done to the “protesters” 😂😂😂😂 OPERATION SAVE THE PROTESTERS!
