stance_label,stance_score,text_preview
anti_russia,0.99609375,Vos documentaires animés sont passionnants et pédagogiques — un excellent exemple de narration historique claire et captivante ! Merci pour le contenu de qualité.  Your animated documentaries are fascinating and educatio
anti_russia,0.97119140625,"-The Russian government is made up of barbarians, bloodthirsty criminals, monsters!"
anti_russia,0.97021484375,This rambling diatribe is disappointing. It reflects an intense dislike of Trump and a lack of perspective. Trump is not okay with Russia occupying Ukraine. Russia is a nuclear power being run by a maniac. Europe and the
anti_russia,0.9677734375,"Cultures with no respect for humanity describes Russia, its commanders and lack of respect for the dead"
anti_russia,0.9658203125,"I read in the comments a lot of fear. A primordial, obsessive fear of the Russians. That the Russians come, that they do, that they do. And maybe they would want, just from wanting to be able to... that Russia has not ma"
anti_russia,0.96337890625,F*ck Trump! F*ck Putin... trust neither Ruzzia nor the US.
anti_russia,0.9599609375,"If you guys saw a Russian preparing this, you wouldn't all scream Slava ukraini You would scream Sadism! How inhumane! How very unbiased this channel and its community is."
anti_russia,0.9560546875,"F*CK PUTIN, TRUMP AND ANYONE else who has taken RUSSIAN $$ you have BLOOD on your hands 🏻 From one pissed off grandma in the U.S."
anti_russia,0.9560546875,"I was a US Army medic. I say this with no irony and in the most serious possible sense:  The Russian empire can no longer be allowed to stand. Russia must be actively disintegrated, the colonies of Moscow must be freed a"
anti_russia,0.9560546875,"RUSSIA HAS KILLED MANY MANY PEOPLE, EVEN MORE THAN IRAN.. DID YOU DO THE SAME TO THEM... HYPROCRISY IN EVERY CORNER"
anti_russia,0.95556640625,"Did Trump do anything wrong? Never! Just like Russia; Good czar, Bad boyars! Get your lips back on trumps ass, while auditioning for fox."
anti_russia,0.955078125,"There is no greater forces to protect Europe. Russia Beware, dont Even try anything or Russia Will Be new parking lot for Ikea!"
anti_russia,0.9541015625,"What a hypocrisy.And you are here blaming Russia. Sick people, when you surrounded Russia."
anti_russia,0.951171875,"An anti-Polish no-deal with a thousand wounds immediately, CRAZY for the BROWS!!!!!"
anti_russia,0.94775390625,"Russia is a barbaric terrorist state!  Shame on Putin, Trump and vance! You are worth less than a hair on Zelensky's left testicle."
anti_russia,0.947265625,"Zero mercy for the orcs. they came to kill, so let them rot. i spit on Putin and his rats."
anti_russia,0.9423828125,Lots of ukrainian bots in the comments. ukraine lost nato lost neocons lost social demonrats lost Russia will triumph over evil.
anti_russia,0.94189453125,"""We are cursing Romanians to be driven 10 years beat/petrov a former security, 10 years of John a callous mobster and house thief, and now of no account, a former Olympic security sportsman and who has more than childish"
anti_russia,0.939453125,️🔥FUCK PUTIN 🔥️EVIL FROM HELL 🔥️A CRAZY BLOODY BASTARD ️🔥A MASSMURDER 🔥️A WARC
anti_russia,0.93896484375,"The whole Libyan baggage goes to hell with the Ukrainians, corrupt thieves, the whole Brussels gang!"
anti_russia,0.9375,Ceausescu and Helena were shot... now after 34 years... that your politicians should be shot... these specimens have stolen... all... and past and present... Romania has no future with these garbage that laughed in your 
anti_russia,0.9365234375,You can't trust Trump or Putin. Give the Russian an inch and they will take a yard.. all bullshit to give Russia the edge.
anti_russia,0.9345703125,I notice that this is a concerted attack! The automaton is the President of Romania! You have no respect for the country as you do not have for its President! And about each one with his frustrations is that you have not
anti_russia,0.92724609375,"A pig caught for our money, zero tolerance for Owl, zero tolerance for Tusk and KO."
anti_russia,0.92529296875,You have no one to fuck with. They're all fucking stupid. Romania is a bad village.
